cat_clean,analysis_universe,analysis_universe_label,sales,count,user_weeks,subcats,total_universe_sales,total_universe_count,share_of_universe_sales,share_of_universe_count
Other,audit_noise,Audit noise,17836390141.519512,81464144,34836289,152,86755652513.0231,628582301,0.2055934065949426,0.12959980557899928
Services,audit_noise,Audit noise,11039869594.130621,49159183,26621518,100,86755652513.0231,628582301,0.1272524530026836,0.07820643839604387
Loans,audit_noise,Audit noise,9420160468.620012,14327488,10235174,128,86755652513.0231,628582301,0.10858267093554427,0.022793336651710783
Restaurants & Dining,audit_noise,Audit noise,5526612563.051175,185230031,44317383,134,86755652513.0231,628582301,0.06370319861546268,0.29467904315046883
Taxes,audit_noise,Audit noise,5512643176.54,2141751,1629475,92,86755652513.0231,628582301,0.0635421787152426,0.003407272200621506
Electronics & Merchandise,audit_noise,Audit noise,4421652043.820194,19294016,13028963,147,86755652513.0231,628582301,0.050966731454834595,0.030694494530478355
Personal & Family,audit_noise,Audit noise,4328328672.560643,38603042,22017030,149,86755652513.0231,628582301,0.04989102781413473,0.06141286819337282
Rent,audit_noise,Audit noise,3545304590.3599997,5337349,4647481,94,86755652513.0231,628582301,0.04086540170771934,0.008491090174681835
Automotive & Fuel,audit_noise,Audit noise,3092779449.7700686,20521636,13368246,126,86755652513.0231,628582301,0.0356493134473953,0.03264749256756436
Entertainment & Recreation,audit_noise,Audit noise,2958833745.6804566,34496395,18930352,141,86755652513.0231,628582301,0.03410537135014112,0.05487967915278607
Mortgage,audit_noise,Audit noise,2775660248.02,2329388,1835127,85,86755652513.0231,628582301,0.031993998864838676,0.0037057804464017195
Travel,audit_noise,Audit noise,2598875011.7800684,31980014,16700005,109,86755652513.0231,628582301,0.02995626148267336,0.05087641498833738
Groceries,audit_noise,Audit noise,2525208472.8402843,49383231,23545041,113,86755652513.0231,628582301,0.029107134805553093,0.07856287223079161
Healthcare & Medical,audit_noise,Audit noise,2166444527.5001054,19341553,13412359,130,86755652513.0231,628582301,0.024971796819520147,0.030770120267831085
