scope,group,label,n_weeks,sales,count,donor_week_sum
broad,total_charity,Total charity,266,234796519.67999938,4146503,3424245
broad,general_unmatched,General/unmatched,266,206426359.89999938,3326809,2677899
broad,aid_world_vision,World Vision,266,6394269.14,113001,104576
broad,aid_red_cross,Red Cross,266,4003326.11,119292,111468
broad,religious_stvdp,St Vincent / religious,266,3430978.17,165839,140825
broad,mental_health,Mental health,266,2572604.53,102040,90101
broad,animal,Animal / RSPCA,266,2320851.89,61295,55911
broad,environment,Environment,266,1963606.39,69888,66692
broad,aid_oxfam,Oxfam,266,1822079.47,45225,43302
broad,aid_smith_family,Smith Family,264,1700206.47,29700,26411
broad,general_other,Other charity-like,266,1124011.69,30092,28365
broad,aid_unicef,UNICEF,266,1034350.04,22136,21108
broad,human_rights,Human rights,266,1027463.23,33992,32851
broad,aid_salvation_army,Salvation Army,266,976412.65,27194,24736
strict,total_charity,Total charity,266,227067230.5999994,3901813,3200346
strict,general_unmatched,General/unmatched,266,206426359.89999938,3326809,2677899
strict,aid_world_vision,World Vision,266,6340920.06,111985,103582
strict,aid_red_cross,Red Cross,266,3583590.71,109207,101618
strict,religious_stvdp,St Vincent / religious,266,3302062.3699999996,160291,135763
strict,aid_oxfam,Oxfam,265,1766959.04,43698,41807
strict,aid_smith_family,Smith Family,210,1486936.48,25974,23015
strict,environment,Environment,266,1389112.97,48580,45980
strict,aid_unicef,UNICEF,266,994918.19,21225,20232
strict,human_rights,Human rights,233,721699.91,23340,22574
strict,aid_salvation_army,Salvation Army,266,628007.37,17347,15693
strict,mental_health,Mental health,257,400249.48,12721,11594
strict,animal,Animal / RSPCA,135,22256.74,500,475
strict,general_other,Other charity-like,72,4157.38,136,114
