layer,phase_id,phase_label,event_id,event_name,event_date,event_week,event_family,event_anchor,expected_direction,hypothesis,source_url,window,pre_start,pre_end_exclusive,post_start,post_end_exclusive,n_obs_pre,n_obs_post,wallet_pct_shift_during_same_window,pre_window_truncated,post_window_truncated,post_window_crosses_luna,analysis_universe,analysis_universe_label,cat_clean,semantic_within_cat,subcat_key,subcat_label,pre_sales_sum,pre_count_sum,pre_user_weeks_sum,pre_source_rows,post_sales_sum,post_count_sum,post_user_weeks_sum,post_source_rows,support_ok,share_of_wallet_pre,share_of_wallet_post,share_of_wallet_diff,share_of_wallet_pct_change,sales_per_active_user_pre,sales_per_active_user_post,sales_per_active_user_diff,sales_per_active_user_pct_change,count_per_active_user_pre,count_per_active_user_post,count_per_active_user_diff,count_per_active_user_pct_change,active_subcat_user_proxy_pre,active_subcat_user_proxy_post,active_subcat_user_proxy_diff,active_subcat_user_proxy_pct_change
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Automotive & Fuel,automotive_fuel_misc_crypto_binance,Automotive & Fuel :: automotive_fuel_misc_crypto_binance,Automotive & Fuel: automotive fuel misc crypto binance,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Automotive & Fuel,automotive_fuel_misc_crypto_coinbase,Automotive & Fuel :: automotive_fuel_misc_crypto_coinbase,Automotive & Fuel: automotive fuel misc crypto coinbase,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Automotive & Fuel,automotive_fuel_misc_crypto_coinjar,Automotive & Fuel :: automotive_fuel_misc_crypto_coinjar,Automotive & Fuel: automotive fuel misc crypto coinjar,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,1,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Automotive & Fuel,automotive_fuel_misc_crypto_coinspot,Automotive & Fuel :: automotive_fuel_misc_crypto_coinspot,Automotive & Fuel: automotive fuel misc crypto coinspot,0.0,0.0,0.0,0,9500.0,1.0,1.0,1,False,,1.4410822864864103e-05,,,,0.04081685263397595,,,,4.296510803576416e-06,,,,4.296510803576416e-06,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,1,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Automotive & Fuel,automotive_fuel_misc_crypto_swyftx,Automotive & Fuel :: automotive_fuel_misc_crypto_swyftx,Automotive & Fuel: automotive fuel misc crypto swyftx,30.0,1.0,1.0,1,0.0,0.0,0.0,0,False,4.696278838047966e-08,,,,0.00013116531639260402,,,,4.372177213086801e-06,,,,4.372177213086801e-06,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Charitable Giving & Gifts,charitable_giving_gifts_misc_crypto_binance,Charitable Giving & Gifts :: charitable_giving_gifts_misc_crypto_binance,Charitable Giving & Gifts: charitable giving gifts misc crypto binance,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Charitable Giving & Gifts,charitable_giving_gifts_misc_crypto_coinbase,Charitable Giving & Gifts :: charitable_giving_gifts_misc_crypto_coinbase,Charitable Giving & Gifts: charitable giving gifts misc crypto coinbase,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Charitable Giving & Gifts,charitable_giving_gifts_misc_crypto_coinspot,Charitable Giving & Gifts :: charitable_giving_gifts_misc_crypto_coinspot,Charitable Giving & Gifts: charitable giving gifts misc crypto coinspot,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Charitable Giving & Gifts,charitable_giving_gifts_misc_crypto_swyftx,Charitable Giving & Gifts :: charitable_giving_gifts_misc_crypto_swyftx,Charitable Giving & Gifts: charitable giving gifts misc crypto swyftx,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,1,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Clothing & Personal Care,clothing_personal_care_misc_crypto_binance,Clothing & Personal Care :: clothing_personal_care_misc_crypto_binance,Clothing & Personal Care: clothing personal care misc crypto binance,10000.0,1.0,1.0,1,0.0,0.0,0.0,0,False,1.727510872809964e-05,,,,0.04392399392091924,,,,4.392399392091924e-06,,,,4.392399392091924e-06,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,0,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Clothing & Personal Care,clothing_personal_care_misc_crypto_coinbase,Clothing & Personal Care :: clothing_personal_care_misc_crypto_coinbase,Clothing & Personal Care: clothing personal care misc crypto coinbase,0.0,0.0,0.0,0,0.0,0.0,0.0,0,False,,,,,,,,,,,,,,,,
subcategory,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,1,0,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Clothing & Personal Care,clothing_personal_care_misc_crypto_coinjar,Clothing & Personal Care :: clothing_personal_care_misc_crypto_coinjar,Clothing & Personal Care: clothing personal care misc crypto coinjar,300.0,2.0,1.0,1,0.0,0.0,0.0,0,False,4.696278838047966e-07,,,,0.0013116531639260404,,,,8.744354426173602e-06,,,,4.372177213086801e-06,,,
