month_start,user_months,active_users,gross_contribution,auto_investment,auto_roundup,roundup,lump_sum,found_money,reward,user_transfer,dividend,fee,withdrawal,net_flow_after_withdrawal_fee,total_end_balance,signins,crypto_portfolio_users,crypto_portfolio_share,portfolio_switches,portfolio_switch_rate
2019-01-01,312330,312330,22601603.289983876,10975066.319999998,5653969.59,210952.45,5713319.399983827,35530.530000000006,12765.0,0.0,2219706.7184917205,223369.36593210342,19447363.600006104,5150577.0425373325,237367665.09360737,252004.0,0.0,0.0,0.0,0.0
2019-02-01,320723,320723,23671069.029999863,10472926.989999998,5372225.219999998,202678.90999999995,7572750.299999866,34461.11,8752.5,7274.0,18083.123274270223,225781.75367197438,18747771.11999321,4715599.279608952,252361908.68764243,266271.0,0.0,0.0,3488.0,0.010875428329118897
2019-03-01,328705,328705,26812767.66999552,11885157.620000001,5681730.679999995,226370.63000000006,8948027.559995499,44018.68,19182.5,8280.0,17046.115343774632,232057.16158325115,18015863.46,8581893.163756007,262286023.77431065,309440.0,0.0,0.0,3707.0,0.011277589327816735
2019-04-01,335680,335680,28545320.569998287,12639593.679999998,6042117.150000008,230621.70999999996,9551214.21999832,46641.810000000005,32222.0,2910.0,1691164.6929040537,240099.41002562593,18798919.50998719,11197466.342889564,280568116.55932945,261550.0,0.0,0.0,3313.0,0.009869518589132507
2019-05-01,343226,343226,30662152.78000133,13420142.829999998,6116660.760000007,228985.11000000002,10823948.860001298,56984.22,9340.0,6091.0,22029.94294473678,246793.63580788468,22449619.350000322,7987769.73713781,286449536.12772584,243627.0,0.0,0.0,3688.0,0.010745106722684179
2019-06-01,349511,349511,27108946.029998004,12106961.77,5544317.709999999,196104.31,9158582.119998017,56828.12000000009,11805.0,34347.0,21841.844104125863,240823.35917983844,21309053.63,5580910.884922307,299388265.3684691,224184.0,0.0,0.0,3987.0,0.011407366291761919
2019-07-01,358591,358591,37149124.999996826,14565338.100000001,6501908.990000002,255319.2799999999,15741001.139996873,60645.99000000004,20007.5,4904.0,4485997.68566481,248266.1873594552,24634519.22995239,16752337.268349878,321264353.860583,312077.0,0.0,0.0,4507.0,0.012568636691941516
2019-08-01,366492,366492,34523427.18000114,14643461.870000001,6468122.0299999975,229349.43999999997,13091989.200001068,69596.14000000014,20262.5,646.0,18072.088562873614,487141.9568844014,26418069.369998783,7636287.941680757,324881698.16618913,261616.0,0.0,0.0,5933.0,0.01618862076116259
2019-09-01,374785,374785,32824121.699987613,14069772.569999998,6204748.939999999,224724.77999999997,12210095.089987606,49822.82000000004,50130.5,14827.0,18742.802318680086,494212.36090231524,22472217.9899994,9876434.151404575,339188298.7238746,250692.0,0.0,0.0,3780.0,0.010085782515308776
2019-10-01,381856,381856,36723283.38999997,15630620.049999999,7056069.760000005,237859.89999999997,13641641.379999999,96704.30000000006,24569.0,35819.0,2164860.8919630167,500129.075223,24761831.61000398,13626183.596736051,352961528.17702305,289768.0,0.0,0.0,6656.0,0.017430654487555517
